loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,32,22,0.9928547558503615,0.007664070255097093,0.6530703516471896,0.8173076923076923,0.9014423076923077,0.8071065989847716,0.8003378378378379,0.786979404597118,0.7809674866194202,0.8737487891507911,0.8003378378378379,0.9633873317846018,0.9217431798379455,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MECS_cb_focal_ce.pt
ordinal_focal_mse,success,32,22,0.9908349730820019,0.01147053586594536,1.1077946746256833,0.8028846153846154,0.8509615384615384,0.7918781725888325,0.7870945945945946,0.7618184042608553,0.7544088442453284,0.863849336740903,0.7870945945945946,0.9620954814544576,0.922360884938125,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MECS_ordinal_focal_mse.pt
sce,success,32,22,0.9959677091544971,0.06112525928308189,2.8935078008530932,0.8076923076923077,0.8918269230769231,0.7969543147208121,0.7894594594594595,0.7730888112983194,0.7671372589778302,0.8683195839311334,0.7894594594594595,0.9557818831136681,0.9079068072547178,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MECS_sce.pt
gce,success,40,30,0.9948708848826197,0.007282806425385908,0.2869432969041718,0.7980769230769231,0.9038461538461539,0.7868020304568528,0.7797855464159812,0.7619350855147909,0.7547950288699411,0.8672814755412991,0.7797855464159812,0.9435311316620901,0.8834186902612019,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MECS_gce.pt
dast,success,36,26,0.9979838381867551,0.3987348590578352,0.6221987628019773,0.8125,0.8870192307692307,0.8020304568527918,0.7970945945945946,0.7789573234186794,0.7713234756751396,0.8736067152882896,0.7970945945945946,0.9401004217296237,0.8668758769163729,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast.pt
pcol,success,27,17,0.9939434176565214,0.034253725981605906,1.2002856149338186,0.8197115384615384,0.9038461538461539,0.8096446700507615,0.8049206815511164,0.7893257418016867,0.7830505202055243,0.8666564323394377,0.8049206815511164,0.950187788593544,0.8973756147398183,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MECS_pcol.pt
aom,success,36,26,0.9908186793452736,0.03575954992993502,1.7242107919412843,0.8125,0.9038461538461539,0.8020304568527918,0.7944594594594594,0.7789296889535049,0.774060076629342,0.8668426922115111,0.7944594594594594,0.9532726979719023,0.9078493349698541,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MECS_aom.pt
