loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,32,22,1.0,0.0022019722975008854,0.5772479006021128,0.8125,0.8894230769230769,0.8020304568527918,0.7970945945945946,0.7760635639910825,0.7698019631378151,0.8659019716233647,0.7970945945945946,0.9703384267187062,0.9284007001414598,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MDFA_cb_focal_ce.pt
ordinal_focal_mse,success,19,9,0.9888219732644712,0.023136315950458602,1.1582765339105838,0.7572115384615384,0.8269230769230769,0.7436548223350253,0.7328056628056627,0.7034604729811096,0.6964934217110246,0.8533288099350276,0.7328056628056627,0.9487170175620161,0.8894084771856802,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MDFA_ordinal_focal_mse.pt
sce,success,32,22,0.9959677091544971,0.0660570145685467,2.565902292273843,0.8125,0.9110576923076923,0.8020304568527918,0.7947855464159812,0.7806297598480447,0.7756240236654282,0.8664093293154376,0.7947855464159812,0.9617275373982698,0.9112943634478343,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MDFA_sce.pt
gce,success,50,44,0.9979838381867551,0.004273819182471986,0.2768236920282327,0.8004807692307693,0.8557692307692307,0.7893401015228426,0.7822855464159812,0.7644466561204364,0.7577902295807767,0.8589467620664565,0.7822855464159812,0.9446673718501666,0.8834649537863902,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MDFA_gce.pt
dast,success,50,43,0.993934759445947,0.40329092741012573,0.6223364541163812,0.8149038461538461,0.8846153846153846,0.8045685279187818,0.7999206815511164,0.7849242306233367,0.7772610496277311,0.8696194454113007,0.7999206815511164,0.9386305425540586,0.865737848067204,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MDFA_dast.pt
pcol,success,34,24,0.9959594475462826,0.028969821852764914,1.2249021649253196,0.8149038461538461,0.8990384615384616,0.8045685279187818,0.7999206815511164,0.7834460490020512,0.7764284739379234,0.8656240520236024,0.7999206815511164,0.9544395074052098,0.8947590424855271,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MDFA_pcol.pt
aom,success,23,13,0.993959677025983,0.0304821874742629,2.2133377129315566,0.7788461538461539,0.8557692307692307,0.766497461928934,0.7536368977673324,0.736779583918076,0.7328224554294483,0.8481871196754563,0.7536368977673324,0.9435196745207226,0.8965714247607712,E:\Paper\Computer-Vision-for-Medicine\MRI_Loss\checkpoints\best_ResNet_layer3+MDFA_aom.pt
