loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,26,16,0.994642652140558,0.032475782047445785,0.4495997935497668,0.949375,0.9725,0.949375,0.9493750000000001,0.9482302263295652,0.9482302263295652,0.9536620874447804,0.9493750000000001,0.9919518229166667,0.9841284566883373,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_ce.pt
cb_focal_ce,success,25,15,0.9928441588366318,0.009086170890181424,0.22881513493789085,0.95125,0.9675,0.95125,0.95125,0.9500842323317461,0.9500842323317461,0.9552560965498712,0.95125,0.9883171874999999,0.9763270004488452,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_cb_focal_ce.pt
ordinal_focal_mse,success,35,25,0.992857051748109,0.03192103506260163,0.30042193552402396,0.956875,0.969375,0.956875,0.956875,0.9558671059723927,0.9558671059723927,0.9600343515029612,0.956875,0.9909822916666666,0.9830295276584868,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_ordinal_focal_mse.pt
sce,success,44,34,0.992857051748109,0.08939470730874095,0.9633260894173122,0.953125,0.968125,0.953125,0.953125,0.9518809730971766,0.9518809730971767,0.9570060448585116,0.953125,0.9886877604166666,0.9737867461726684,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_sce.pt
gce,success,25,15,0.992857051748109,0.008120183416286635,0.0665626635888288,0.951875,0.973125,0.951875,0.951875,0.9509960666350058,0.9509960666350058,0.955364494543599,0.951875,0.9869653645833333,0.9719443627712558,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_gce.pt
dast,success,20,10,0.9910586049749177,0.4250178686210087,0.477774073779583,0.9525,0.970625,0.9525,0.9525,0.9513871562175162,0.9513871562175162,0.9568310529626435,0.9525,0.9896020833333333,0.9746749039295086,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_dast.pt
pcol,success,21,11,0.9928696252724265,0.02165473431481847,0.461245372435078,0.941875,0.969375,0.941875,0.941875,0.940235383897106,0.940235383897106,0.9482387296337715,0.941875,0.9901989583333333,0.9782982484876874,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_pcol.pt
aom,success,34,24,0.9964285486513129,0.01616079376144301,0.41248547229296134,0.955625,0.9725,0.955625,0.9556250000000001,0.9545067799598473,0.9545067799598473,0.9590987671486838,0.9556250000000001,0.9926677083333333,0.9834812270373268,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_aom.pt
