loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,39,29,0.7675333714246637,0.09645340029918958,0.8232299498746867,0.9831349206349206,0.8227658512231653,0.7732285151671718,0.7264389530806507,0.8261996435728081,0.693263986948561,0.7732285151671718,0.7901134511627764,0.3539690375328064,0.9665699362921613,0.8120517695774148,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,40,40,0.7870620055024072,0.4450489932020742,0.8720238095238095,0.9871031746031746,0.871193210184723,0.7363213367394209,0.7530304313235243,0.866996278003876,0.7780832664953047,0.7363213367394209,0.8615861919665322,0.24113829433918,0.9689359875290438,0.8010885838570029,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_ordinal_focal_mse.pt
sce,success,40,40,0.7750054697390979,1.367534442198655,0.8784722222222222,0.9846230158730159,0.8776834747878183,0.7621003730978408,0.7699231448427474,0.8731787131026988,0.7859247236203919,0.7621003730978408,0.8622556686366015,0.23514728248119354,0.9581384881395242,0.8055703231277491,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_sce.pt
gce,success,40,34,0.6729683768311249,0.19251120658147902,0.8609283625730993,0.9712301587301587,0.8607089365951074,0.6424835596251616,0.6562701101472628,0.8496103504832712,0.6814397005750202,0.6424835596251616,0.832822317156455,0.27408885955810547,0.9304381562887054,0.7075096727269242,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_gce.pt
dast,success,40,30,0.7569804739729731,0.8378319475385878,0.8652360066833751,0.9584899749373433,0.8647029455816275,0.7032859834214804,0.7307306715641454,0.8617200884141211,0.7682644830014064,0.7032859834214804,0.8528793720772966,0.24862706661224365,0.9415751303688336,0.7594489448690317,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_dast.pt
pcol,success,40,31,0.7436817557511464,0.5834287914728361,0.8662280701754386,0.9846230158730159,0.8657014478282576,0.7195974912816177,0.7408012508827774,0.8618960615565476,0.7679610211358062,0.7195974912816177,0.8334294534403207,0.266600102186203,0.9567414673112563,0.7882797595116461,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_pcol.pt
aom,success,40,30,0.7820150993731411,0.5851132927078103,0.8713450292397661,0.9875992063492064,0.871193210184723,0.733634196434741,0.7554286869713998,0.865920926003563,0.7862692454438015,0.733634196434741,0.8436920081424374,0.25561657547950745,0.965532249951275,0.8154258397474302,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_aom.pt
