loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,39,24,0.791317212778881,0.08995863561710668,0.805529448621554,0.9871031746031746,0.8052920619071393,0.7986491236383441,0.7461542760728319,0.8176390039047855,0.715567975421933,0.7986491236383441,0.8036054201882749,0.3474787771701813,0.9679072676274628,0.81599044994183,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,60,53,0.7956800974733057,0.44795204873477656,0.8817616959064327,0.9885912698412699,0.8816774837743385,0.7851023164639362,0.8065961768326231,0.880809160889704,0.8329608279814195,0.7851023164639362,0.8677363892183271,0.22016973793506622,0.977636033343099,0.8676595139443167,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_ordinal_focal_mse.pt
sce,success,45,30,0.8288007432644141,1.322782238945365,0.8781328320802004,0.9846230158730159,0.8776834747878183,0.76046630944675,0.7751778441231992,0.8765232577018556,0.7915880962260949,0.76046630944675,0.8647807090726239,0.22666001319885254,0.9651111482553334,0.8205832217824973,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_sce.pt
gce,success,60,57,0.8111771204234426,0.15867191460168373,0.8872180451127819,0.9806547619047619,0.8871692461308038,0.7618634662095843,0.7834050521823644,0.8829189633332937,0.8095555899666328,0.7618634662095843,0.8620167751885117,0.22266599535942078,0.962296944116143,0.8148079475386519,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_gce.pt
dast,success,52,37,0.7933796713986182,0.832763307624393,0.8746606098579782,0.9609701336675021,0.8741887169246131,0.7451135513307836,0.752628895897327,0.8730802810689365,0.7702246631034414,0.7451135513307836,0.8639664425856838,0.23315027356147766,0.9418867254114781,0.7933868316038609,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_dast.pt
pcol,success,60,46,0.823028779169058,0.5713316171415268,0.8888888888888888,0.9880952380952381,0.8881677483774338,0.7939528705135894,0.8174062979969132,0.8854439883050467,0.8442894350009851,0.7939528705135894,0.865812830490948,0.21318022906780243,0.9714925396791555,0.865724544047462,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_pcol.pt
aom,success,60,59,0.8197141293076964,0.5968964717070026,0.8928571428571429,0.9871031746031746,0.8921617573639541,0.7925619554508642,0.8147724832652296,0.8900499030747155,0.8407781968354858,0.7925619554508642,0.8671789869838114,0.2151772379875183,0.9737784080960584,0.866452718633861,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_aom.pt
