loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,40,40,0.7264296389072152,0.1294587275072459,0.8391029657477025,0.9816468253968254,0.8387418871692461,0.7585852009519406,0.7585262327622179,0.8411350138466327,0.7635412643439372,0.7585852009519406,0.8209681182383702,0.3025461733341217,0.9673914488836609,0.8102353325967562,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_cb_focal_ce.pt
ordinal_focal_mse,success,40,33,0.7128830693116408,0.468462540753304,0.8561507936507936,0.9826388888888888,0.8552171742386421,0.7160544115979216,0.7371006748474437,0.850584671423092,0.763671792806598,0.7160544115979216,0.8456711141672066,0.268097847700119,0.965833514275454,0.8017400034410215,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_ordinal_focal_mse.pt
sce,success,37,27,0.7591660310195779,1.4003786764565915,0.8625992063492064,0.9851190476190477,0.8617074388417374,0.7149303819401014,0.7354081789052945,0.8594121919103307,0.7656110025232045,0.7149303819401014,0.8210761267378782,0.27608588337898254,0.9612759903885119,0.7840565850464388,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_sce.pt
gce,success,40,39,0.6915418814668756,0.19796457847521182,0.8556547619047619,0.9662698412698413,0.854717923115327,0.6444467426000754,0.6729065416766823,0.8463640257626157,0.7705085637543957,0.6444467426000754,0.8218067653125152,0.29006490111351013,0.9499082344982669,0.7178310852951768,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_gce.pt
dast,success,38,28,0.7603993708842748,0.8451058703755575,0.8483709273182957,0.9530336257309941,0.8477284073889166,0.6817619189041674,0.7225281432780635,0.8433532250901284,0.7906281015107532,0.6817619189041674,0.8412513249779734,0.27458810806274414,0.9426653726691195,0.7760470544155647,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_dast.pt
pcol,success,39,29,0.7265771671076632,0.5225613740464997,0.8621031746031746,0.9831349206349206,0.8612081877184223,0.7132680263237187,0.7361188774544539,0.8595317445611591,0.7671605202252164,0.7132680263237187,0.8185424602591789,0.2790813744068146,0.9606793078134229,0.7923497376367826,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_pcol.pt
aom,success,40,38,0.726634382219543,0.572066923086014,0.8625992063492064,0.9811507936507936,0.8617074388417374,0.7135782231293158,0.7294165597983626,0.8603275814402016,0.7525707650109735,0.7135782231293158,0.8404802716567228,0.265102356672287,0.9685701004779605,0.8064001198419882,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_aom.pt
