loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,60,60,0.7927380970216104,0.16195292886908327,0.8531484962406015,0.9826388888888888,0.853220169745382,0.7606675601279285,0.7442152112984042,0.8548057207876407,0.7334905951106441,0.7606675601279285,0.8273848693028917,0.2910633981227875,0.9592577064418139,0.8062620937247624,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,60,57,0.7844935266544064,0.4441571935183472,0.8864087301587301,0.9861111111111112,0.8856714927608587,0.7645082944747515,0.7804410599693767,0.8819464808401365,0.8047821615700982,0.7645082944747515,0.8779110381049375,0.21268098056316376,0.9759351899348856,0.8324486256288607,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_ordinal_focal_mse.pt
sce,success,60,52,0.7794320470265477,1.3670989852694293,0.8859126984126984,0.9806547619047619,0.8851722416375437,0.7543113001695881,0.7759622879454454,0.8794721292430964,0.8077203598052295,0.7543113001695881,0.8566920559444835,0.2291562706232071,0.9638109268383077,0.8244448364407607,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_sce.pt
gce,success,60,46,0.7364084925639715,0.19081232278046037,0.8586309523809523,0.9771825396825397,0.8577134298552171,0.7114267120753022,0.7253968372482972,0.8569809476979605,0.7670113706392824,0.7114267120753022,0.8210213327568571,0.2970544099807739,0.9487240984430839,0.7676006232889272,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_gce.pt
dast,success,60,51,0.7776848112982567,0.8216074440214369,0.8824404761904762,0.9662698412698413,0.8816774837743385,0.7542020310179492,0.7733250681631774,0.8778750392915671,0.7975090821646525,0.7542020310179492,0.8742811698301431,0.21617573499679565,0.9456997095816134,0.8007686483017197,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_dast.pt
pcol,success,54,39,0.8028651806478463,0.63046462801359,0.8700396825396826,0.9841269841269841,0.8691962056914628,0.7192775457505632,0.7505876442566362,0.8644045526714906,0.8087445439372255,0.7192775457505632,0.8398037010942666,0.26210683584213257,0.9584182866530472,0.8120851004245395,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_pcol.pt
aom,success,60,48,0.8121362250749062,0.651239456963681,0.885077276524645,0.9841269841269841,0.8846729905142287,0.7612105585328415,0.7748046813279349,0.8810365564573951,0.7929613774013838,0.7612105585328415,0.8534237834742765,0.2306540161371231,0.9642771081599657,0.8211600305062727,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+GCSA_aom.pt
