loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,33,23,0.9910584227498771,0.0673917080308052,0.514791297660704,0.949375,0.961875,0.949375,0.9493750000000001,0.9481075962724966,0.9481075962724966,0.9535131547255628,0.9493750000000001,0.9897111979166667,0.97944609172324,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_ce.pt
cb_focal_ce,success,25,15,0.9875054068512569,0.022096799848239042,0.2532792592814076,0.955,0.963125,0.955,0.955,0.9539819682972146,0.9539819682972146,0.958145977373004,0.955,0.98485625,0.9750768798331985,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,30,20,0.989231371039302,0.02418976904138819,0.4080837044710643,0.9475,0.961875,0.9475,0.9475,0.9464236049347545,0.9464236049347545,0.9515894377899329,0.9475,0.9865645833333333,0.9644852856257203,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_ordinal_focal_mse.pt
sce,success,29,19,0.9910646607654457,0.0915458584851068,0.7459608145465608,0.9525,0.964375,0.9525,0.9525,0.9514083623948102,0.9514083623948102,0.9554289125522988,0.9525,0.9927614583333333,0.9815334203561003,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_sce.pt
gce,success,36,26,0.9946427888110818,0.008766154443492269,0.06295762677073355,0.955,0.968125,0.955,0.955,0.9539599934678846,0.9539599934678844,0.9584279615473582,0.955,0.9878385416666666,0.9722449272465727,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_gce.pt
dast,success,30,20,0.9910685805422648,0.4272759093178643,0.4850103735923767,0.94625,0.95875,0.94625,0.94625,0.9449506279270478,0.9449506279270478,0.9493814435359427,0.94625,0.9850687499999999,0.9670928701494337,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_dast.pt
pcol,success,20,10,0.9856815028168066,0.04840586230986648,0.3566203653626144,0.95,0.96375,0.95,0.9500000000000001,0.9489898344998489,0.9489898344998489,0.953279559702302,0.9500000000000001,0.9870369791666666,0.9760838706543213,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_pcol.pt
aom,success,29,19,0.989285373104487,0.04646196278433005,0.6085496606235392,0.944375,0.95625,0.944375,0.9443750000000001,0.9429644099931248,0.9429644099931247,0.94848767889153,0.9443750000000001,0.987140625,0.9723490845018298,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_aom.pt
