loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,45,35,0.994642652140558,0.02035179294277138,0.3980215013900306,0.9575,0.973125,0.9575,0.9575,0.9568941950968399,0.95689419509684,0.9605354138577002,0.9575,0.9921440104166667,0.9861607249624689,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_ce.pt
cb_focal_ce,success,37,27,0.9946427888110818,0.010422128576060964,0.43306970866658956,0.9425,0.961875,0.9425,0.9425,0.9411673442866576,0.9411673442866576,0.9476191987696976,0.9425,0.9844591145833332,0.96170514369109,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_cb_focal_ce.pt
ordinal_focal_mse,success,41,31,0.9964283892035308,0.01639750984476349,0.3230347753883689,0.94625,0.958125,0.94625,0.94625,0.9445330831707056,0.9445330831707055,0.9508203945004644,0.94625,0.9901807291666668,0.9791509151612928,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_ordinal_focal_mse.pt
sce,success,36,26,0.9928567784070617,0.10875798481639423,0.655151075712347,0.955,0.97125,0.955,0.955,0.9538778173671395,0.9538778173671395,0.9580988083984989,0.955,0.9935244791666666,0.9834598613060216,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_sce.pt
gce,success,43,33,0.9910586049749177,0.013655287102058841,0.07243480650993661,0.948125,0.966875,0.948125,0.948125,0.947268016128112,0.9472680161281118,0.9523567757898744,0.948125,0.9802888020833334,0.9602515515096806,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_gce.pt
dast,success,21,11,0.9910452079824883,0.4237593544854058,0.5030629479885101,0.9425,0.955,0.9425,0.9425,0.9412897947127755,0.9412897947127754,0.948123344026257,0.9425,0.9800515625,0.9603117871626935,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_dast.pt
pcol,success,43,33,0.9946422420941179,0.03710565027884311,0.49916560592129827,0.948125,0.960625,0.948125,0.948125,0.9466844143203181,0.9466844143203181,0.9521792399466121,0.948125,0.9942963541666667,0.987516204850291,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_pcol.pt
aom,success,49,39,0.9982142629370272,0.01169239357396792,0.8152529065514682,0.946875,0.96375,0.946875,0.946875,0.9458643355738979,0.9458643355738978,0.950950034906659,0.946875,0.9901989583333334,0.9789830603979109,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_aom.pt
