loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,53,38,0.8187797612497068,0.11288472262048532,0.8644005847953216,0.9861111111111112,0.8642036944583126,0.7966145730626499,0.7922967997612386,0.86224104832561,0.7919312361005384,0.7966145730626499,0.8522921076115089,0.2616075873374939,0.9736167953854328,0.8562985266104629,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_cb_focal_ce.pt
ordinal_focal_mse,success,60,59,0.8210364995820951,0.4317030105739832,0.8908730158730159,0.9890873015873016,0.890164752870694,0.8061380901915286,0.8319436792472025,0.887388442056774,0.8629515355357148,0.8061380901915286,0.877996386537301,0.2051922082901001,0.9793171332860376,0.8918492358688306,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_ordinal_focal_mse.pt
sce,success,60,46,0.8085450392369137,1.19668961943142,0.8885494987468672,0.9900793650793651,0.8881677483774338,0.8131487264368271,0.8204375022319744,0.8862925862870793,0.8297387046988274,0.8131487264368271,0.8750377601157393,0.2136794775724411,0.9758817542379651,0.8892206163431373,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_sce.pt
gce,success,60,46,0.8050331905580125,0.16908640053773683,0.8781067251461988,0.9880952380952381,0.8786819770344483,0.7835250494796738,0.7957147660117677,0.8762708697762032,0.8137281803670282,0.7835250494796738,0.8551493840533915,0.24013979732990265,0.9681825939691324,0.846997558088679,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_gce.pt
dast,success,60,46,0.8290377853634812,0.8075430355374775,0.8845812447786132,0.9652777777777778,0.8841737393909136,0.7956797182826364,0.8159482939814209,0.8821974690576332,0.8399043311158542,0.7956797182826364,0.8856564267823357,0.20469295978546143,0.9550786928282496,0.8499148353004008,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast.pt
pcol,success,42,27,0.8306988437410027,0.4791768898980485,0.875,0.9920634920634921,0.8741887169246131,0.788054889831009,0.8047500319362133,0.8733132394941556,0.8285780371553877,0.788054889831009,0.8581307718767142,0.23864203691482544,0.9721883788908726,0.8628987875013552,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_pcol.pt
aom,success,36,21,0.792436907800018,0.48951655839170727,0.8713450292397661,0.9856150793650794,0.871193210184723,0.7783651488029674,0.7835747572054278,0.8653211735795474,0.8014612557308756,0.7783651488029674,0.8358496884318642,0.268097847700119,0.9746363136762346,0.8509177666377167,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_aom.pt
