loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,60,56,0.8201636585341258,0.6262193665665946,0.8898809523809523,0.9861111111111112,0.889166250624064,0.7962672584848193,0.8074720637681276,0.8858606670210817,0.8223317621008264,0.7962672584848193,0.8801791042786198,0.20718921720981598,0.9799078271726404,0.8703917393114439,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_ce.pt
cb_focal_ce,success,60,57,0.8419679339724314,0.12617273887536568,0.8834325396825397,0.9900793650793651,0.8826759860209685,0.8158040112158715,0.815769780139739,0.8815605401885789,0.8169806870262237,0.8158040112158715,0.8751672755310651,0.21967048943042755,0.9776062933454777,0.8714052719671582,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,34,19,0.8073981715433848,0.38209903005155776,0.8331679894179894,0.9841269841269841,0.8342486270594108,0.7880879094189812,0.7556166871918569,0.8412178969640162,0.7326579492594613,0.7880879094189812,0.849170405548644,0.2805791199207306,0.9710914377718457,0.8428776570061556,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_ordinal_focal_mse.pt
sce,success,60,60,0.8262961263079897,1.3799200873025632,0.8923611111111112,0.9861111111111112,0.891662506240639,0.7736343627296953,0.8103112354596372,0.8881951220638186,0.8551439371793964,0.7736343627296953,0.8723226252602592,0.20968547463417053,0.9682290479257781,0.8552572872238767,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_sce.pt
gce,success,60,49,0.8049817856461907,0.1669200865549173,0.8784722222222222,0.9756944444444444,0.8776834747878183,0.7870016566695016,0.7842795897102703,0.8770497229402702,0.7820437556022268,0.7870016566695016,0.8601071915352163,0.2361457794904709,0.9598091467993577,0.8182638559212634,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_gce.pt
dast,success,55,40,0.8253603566043893,0.8171241822696867,0.8839285714285714,0.9603174603174603,0.8831752371442836,0.7827990317921197,0.8109314735798756,0.8810389768149787,0.8464755682253927,0.7827990317921197,0.8806834941523995,0.2101847231388092,0.9477270166914307,0.8305728873103837,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_dast.pt
pcol,success,60,50,0.8293196428834143,0.5938960230439931,0.8888888888888888,0.9861111111111112,0.8881677483774338,0.7800700430163101,0.8102148595020741,0.8843599768802267,0.8471936610961281,0.7800700430163101,0.8657281396922173,0.21967048943042755,0.9733653255998943,0.8615189028264497,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_pcol.pt
aom,success,60,57,0.8426576459140794,0.6446964336736896,0.8913690476190477,0.9880952380952381,0.890664003994009,0.7943355509385438,0.8048847684304397,0.8868305088161801,0.8200460136665938,0.7943355509385438,0.8795048555816984,0.20469295978546143,0.9754801772577432,0.8666523140256125,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+GCSA_aom.pt
