loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,47,32,0.832105312141129,0.5030591764186124,0.8839285714285714,0.9880952380952381,0.8831752371442836,0.7798208079217405,0.8075343099524088,0.8808745977596327,0.8396971454348908,0.7798208079217405,0.8542261899387473,0.22815775871276855,0.9756618486963937,0.8591458851191216,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_baseline_ce.pt
cb_focal_ce,success,54,39,0.8332195802797241,0.1071702429509305,0.8685515873015873,0.9890873015873016,0.8676984523215178,0.8109771758666169,0.7954947879975361,0.869155173581433,0.7821506758349829,0.8109771758666169,0.842848911213066,0.2616075873374939,0.9771163696858709,0.8719928648768758,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_baseline_cb_focal_ce.pt
ordinal_focal_mse,success,49,34,0.835876319408497,0.38782237553419285,0.8792989417989419,0.9861111111111112,0.8806789815277084,0.783365953156296,0.8022336841180202,0.8777990089121652,0.8268081746569932,0.783365953156296,0.8662899824590395,0.2206690013408661,0.9803972598474286,0.8696892130537158,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_baseline_ordinal_focal_mse.pt
sce,success,48,33,0.8420699653290608,1.2487513785950826,0.8839285714285714,0.9856150793650794,0.8831752371442836,0.8065827963463252,0.8067450294485558,0.8820326837969747,0.8081838330064428,0.8065827963463252,0.8534909852874143,0.23464803397655487,0.9729218477567555,0.8617262859815213,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_baseline_sce.pt
gce,success,55,40,0.8225405759811901,0.15607837832871813,0.8859126984126984,0.9816468253968254,0.8851722416375437,0.7802239806530575,0.7945194676332706,0.8830007312993258,0.8127416758097044,0.7802239806530575,0.8653971627994539,0.21967048943042755,0.9661548734540094,0.8501257082420116,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_baseline_gce.pt
dast,success,60,51,0.8453120650934727,0.7913629351154207,0.8913690476190477,0.972718253968254,0.890664003994009,0.8040531487055589,0.8287628436975105,0.8887425870129279,0.8582455718933989,0.8040531487055589,0.884072057476734,0.20119820535182953,0.9692041748455249,0.8741710116111872,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_baseline_dast.pt
pcol,success,54,39,0.8171222899657131,0.5625811843534133,0.8913690476190477,0.9866071428571429,0.890664003994009,0.7910970978967221,0.8104217663829042,0.8879144422361428,0.8333143756553423,0.7910970978967221,0.8728160109422906,0.20968547463417053,0.9719626927745509,0.8696699131873836,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_baseline_pcol.pt
aom,success,31,16,0.8242197046452365,0.4381073628966179,0.8690476190476191,0.9831349206349206,0.8681977034448327,0.7771704222015003,0.7789048107313917,0.8659430025105502,0.7836186068037027,0.7771704222015003,0.8403693130298182,0.2601098418235779,0.9721514279634828,0.8377563558473433,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_baseline_aom.pt
