loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,37,22,0.811650065812719,0.5697232810925925,0.8690476190476191,0.9890873015873016,0.8681977034448327,0.7578228188923669,0.779815305544503,0.8637414221909788,0.8088021616763603,0.7578228188923669,0.8451205162862274,0.2566150724887848,0.971465786556248,0.8493029128803167,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_ce.pt
cb_focal_ce,success,60,50,0.8405952103378934,0.11039158146244489,0.8665674603174603,0.9866071428571429,0.8657014478282576,0.8007011875766211,0.7874550357391848,0.865582321176409,0.7777703413034063,0.8007011875766211,0.8475514134421226,0.25561657547950745,0.9764084150217689,0.8673157426337363,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_cb_focal_ce.pt
ordinal_focal_mse,success,60,52,0.8295661337693684,0.41398606090510764,0.8844246031746031,0.9920634920634921,0.8836744882675986,0.8018612057276945,0.8110815833214883,0.8830173311407833,0.821764632167299,0.8018612057276945,0.8831890929494979,0.21218173205852509,0.9806285002256037,0.8837834631460229,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_ordinal_focal_mse.pt
sce,success,60,46,0.8216526548220974,1.3597644648870055,0.8834325396825397,0.9861111111111112,0.8826759860209685,0.7947613615472628,0.7979701435783131,0.8794265467911827,0.80677621809687,0.7947613615472628,0.8662571243987722,0.22416375577449799,0.9759435688902434,0.8701021361756796,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_sce.pt
gce,success,55,40,0.8095976285645138,0.16213078214079563,0.8814484126984127,0.9801587301587301,0.8806789815277084,0.769340032983323,0.7823742527038932,0.8780726065032243,0.8022328802334543,0.769340032983323,0.8739588274008041,0.21967048943042755,0.9656896544488452,0.8381172980722881,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_gce.pt
dast,success,55,40,0.8262757279263541,0.8171316498801822,0.8834325396825397,0.9677579365079365,0.8826759860209685,0.8141824472532694,0.8274295876129528,0.8839599738188483,0.8466243662579925,0.8141824472532694,0.879731245249106,0.20918622612953186,0.9560146637925817,0.8462081663343505,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast.pt
pcol,success,56,41,0.8332198830395574,0.523841279067306,0.8918650793650794,0.9905753968253969,0.891163255117324,0.8254322011289423,0.8373379940076943,0.888965645953197,0.8525317007708143,0.8254322011289423,0.8684660446499303,0.21467798948287964,0.9781462605898537,0.8857104219260803,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_pcol.pt
aom,success,37,22,0.7789021110090957,0.5227580331894199,0.8616071428571429,0.9846230158730159,0.8607089365951074,0.7645612797684741,0.7728320841128778,0.8601954862785145,0.7830720902762698,0.7645612797684741,0.8557133442072578,0.25411882996559143,0.9697282560978786,0.8418025527382872,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_aom.pt
