loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,60,56,0.8128049518524534,0.6514625406758453,0.8898809523809523,0.9851190476190477,0.889166250624064,0.7888305092684028,0.8017237259248221,0.886877095749351,0.817221072519248,0.7888305092684028,0.882260297914999,0.20619072020053864,0.9756577330391651,0.858732842523023,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_ce.pt
cb_focal_ce,success,60,59,0.773082611262717,0.11037174077281388,0.8715277777777778,0.9866071428571429,0.8706939590614079,0.8010168088826478,0.7783733781556362,0.8713171157719279,0.7607430856829368,0.8010168088826478,0.8655855520793954,0.23814278841018677,0.975818574126577,0.8504390468525449,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_cb_focal_ce.pt
ordinal_focal_mse,success,60,60,0.8231550848876666,0.4358104450919719,0.8783068783068784,0.9905753968253969,0.8796804792810784,0.7548440950398662,0.7840136590390078,0.8776545065241415,0.8202506147013906,0.7548440950398662,0.879905460515831,0.21268098056316376,0.9780236100114115,0.8537670314114046,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_ordinal_focal_mse.pt
sce,success,60,47,0.8016795834315501,1.3837891389197292,0.878968253968254,0.9836309523809523,0.8781827259111333,0.7539970152515888,0.7826520402051649,0.8752461095312476,0.8172229475920453,0.7539970152515888,0.8548624310433393,0.23364952206611633,0.9655016913757258,0.8272754444862117,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_sce.pt
gce,success,60,49,0.7661912462438024,0.19310991690930215,0.8601190476190477,0.9796626984126984,0.8592111832251622,0.696925031972479,0.7085540014744364,0.8554576522929455,0.7291495022134604,0.696925031972479,0.8338854233217301,0.27458810806274414,0.9564183055975924,0.771360726877431,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_gce.pt
dast,success,60,53,0.820759964187691,0.8411883773311736,0.8650793650793651,0.9548611111111112,0.8642036944583126,0.7564939715931881,0.7625131034927978,0.8600801830627308,0.7754663001052258,0.7564939715931881,0.8643707209141185,0.24513229727745056,0.9449326443832585,0.7732797484150701,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_dast.pt
pcol,success,60,45,0.8104662624582817,0.5714395413330445,0.8788029100529101,0.9861111111111112,0.8801797304043935,0.7800188299183206,0.7880713752392585,0.8775331708487735,0.8006888580643784,0.7800188299183206,0.8458823938415408,0.2481278032064438,0.9708159286246139,0.853801197013145,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_pcol.pt
aom,success,60,47,0.7780867036162081,0.6430070295007624,0.8745039682539683,0.9846230158730159,0.873689465801298,0.7789418065275455,0.7828488912667135,0.8725881528240672,0.7887489418755057,0.7789418065275455,0.8414303370617979,0.252621054649353,0.9703872459746885,0.8382146702377307,E:\Coding\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer2+MDFA_aom.pt
