run_tag,tau,gamma,status,return_code,best_valid_macro_f1,best_valid_loss,test_macro_f1,test_acc,test_mae,test_qwk,trained_epochs,best_epoch,test_loss,test_top1,test_top3,test_balanced_acc,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,dast_tau,dast_gamma,checkpoint_path,summary_path,batch_log_path,loss_name
dast_tune_tau0p5_gamma1,0.5,1.0,success,0,0.8141613802342479,0.5470422196846741,0.8179227397269356,0.872191712431353,0.25861209630966187,0.8414651184718653,45,30,0.5583966625115228,0.8723370927318296,0.9697420634920635,0.8054960027139496,0.8727886716432208,0.8377467283316279,0.8054960027139496,0.9652067082876254,0.8532611641552578,0.5,1.0,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau0p5_gamma1.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau0p5_gamma1_20260410_163247_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau0p5_gamma1.log,dast
dast_tune_tau0p5_gamma1p5,0.5,1.5,success,0,0.8360609835159146,0.45530229061841965,0.8179987220715376,0.8816774837743385,0.2186719924211502,0.8702597562488644,52,37,0.4311842319984285,0.8824404761904762,0.9742063492063492,0.7869401046406087,0.8799235446734591,0.8586902179408035,0.7869401046406087,0.9683179565906672,0.8487750115424485,0.5,1.5,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau0p5_gamma1p5.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau0p5_gamma1p5_20260410_170106_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau0p5_gamma1p5.log,dast
dast_tune_tau0p5_gamma2,0.5,2.0,success,0,0.8490517668617451,0.42177630903629154,0.8130549107270844,0.8836744882675986,0.21218173205852509,0.8763826680979404,60,46,0.3459585513623934,0.8844246031746031,0.9801587301587301,0.7803908875853885,0.8803299002713456,0.8524417632195698,0.7803908875853885,0.9744601951911441,0.8793295337447101,0.5,2.0,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau0p5_gamma2.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau0p5_gamma2_20260410_173310_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau0p5_gamma2.log,dast
dast_tune_tau1_gamma1,1.0,1.0,success,0,0.829406397504866,0.9957001300958487,0.8269156025691266,0.8876684972541188,0.20619072020053864,0.8819859667053438,60,53,0.9872237737216647,0.8880534670008354,0.9603174603174603,0.792708175370321,0.8848907703513766,0.8767273016740293,0.792708175370321,0.9475202709011249,0.845403816509972,1.0,1.0,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1_gamma1.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1_gamma1_20260410_180920_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau1_gamma1.log,dast
dast_tune_tau1_gamma1p5,1.0,1.5,success,0,0.8239847719325788,0.8245966159380399,0.836785876129107,0.8926610084872691,0.20569145679473877,0.8752460200802212,60,45,0.8068699146073962,0.8933531746031746,0.9657738095238095,0.8132376497902714,0.8916194945935353,0.8636335716201261,0.8132376497902714,0.9631313089887296,0.851840138675993,1.0,1.5,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1_gamma1p5.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1_gamma1p5_20260410_184614_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau1_gamma1p5.log,dast
dast_tune_tau1_gamma2,1.0,2.0,success,0,0.8099598925528744,0.6847831389078727,0.7716698414018955,0.8756864702945582,0.22815775871276855,0.8703878144336081,43,28,0.6695737337309217,0.8754699248120301,0.9682539682539683,0.7396790246368472,0.8712072382447628,0.8233165851859366,0.7396790246368472,0.9599975507411997,0.8240389891546568,1.0,2.0,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1_gamma2.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1_gamma2_20260410_192401_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau1_gamma2.log,dast
dast_tune_tau1p5_gamma1,1.5,1.0,success,0,0.8223225032818418,1.2469262343186598,0.8099116767758672,0.8856714927608587,0.2066899687051773,0.8805073151503903,60,46,1.2398256044539193,0.8864087301587301,0.9618055555555556,0.7728106662689663,0.8819920459458752,0.8570620478147752,0.7728106662689663,0.948833585256325,0.8303765845844719,1.5,1.0,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1p5_gamma1.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1p5_gamma1_20260410_195144_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau1p5_gamma1.log,dast
dast_tune_tau1p5_gamma1p5,1.5,1.5,success,0,0.8172825276382837,1.0801402215774243,0.8018063585467764,0.8826759860209685,0.2186719924211502,0.8730715870875502,48,33,1.0802220437261794,0.8827537593984962,0.9553571428571429,0.7829371527855015,0.8793125506246189,0.8255837334357271,0.7829371527855015,0.95068824209838,0.8178400623636188,1.5,1.5,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1p5_gamma1p5.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1p5_gamma1p5_20260410_202946_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau1p5_gamma1p5.log,dast
dast_tune_tau1p5_gamma2,1.5,2.0,success,0,0.8370858379223168,0.9284011767460749,0.7877592802080914,0.8761857214178732,0.23315027356147766,0.8616431028416477,60,57,0.9296325511402554,0.8763053467000835,0.9573412698412699,0.7521603430836423,0.8727196395895677,0.8357439353858008,0.7521603430836423,0.9537117270686201,0.824702559145574,1.5,2.0,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\checkpoints\best_ResNet_layer3+MECS_dast_dast_tune_tau1p5_gamma2.pt,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\logs\ResNet_layer3+MECS_dast_tune_tau1p5_gamma2_20260410_205937_summary.csv,E:\Paper\Computer-Vision-for-Medicine\HAM10000_Loss\batch_logs\layer3_mecs_dast_tuning_20260410_163244\dast_tune_tau1p5_gamma2.log,dast
