tau,gamma,best_epoch,best_model_path,valid_loss,valid_qwk,valid_mae,valid_acc,valid_balanced_acc,valid_macro_f1,test_loss,test_top1,test_top2,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro
0.5,1.0,7,checkpoints_dast_grid\best_tau_0p5_gamma_1p0.pt,0.493316188454628,0.9100656748425144,0.20765027322404372,0.8333333333333334,0.6986834096136422,0.7006790994593297,0.4353477507829666,0.8173363095238094,0.9471726190476191,0.9817708333333334,0.8224043715846995,0.6217146399524822,0.6338012807800986,0.8206769710011038,0.6770369691802139,0.6217146399524822,0.9026442145127477,0.22404371584699453,0.931276821105957,0.6907213794731327
1.0,1.5,19,checkpoints_dast_grid\best_tau_1p0_gamma_1p5.pt,0.6287283152341843,0.9133128694861301,0.1912568306010929,0.8469945355191257,0.6545165299816462,0.6734023167578891,0.5993591745694479,0.8441220238095238,0.9289434523809524,0.9706101190476191,0.8469945355191257,0.632694556438224,0.6631299620244334,0.8379276690172244,0.7381622878400372,0.632694556438224,0.9012347417179383,0.20491803278688525,0.9367612517231872,0.6803802980962066
1.0,1.0,23,checkpoints_dast_grid\best_tau_1p0_gamma_1p0.pt,0.7695620854695638,0.9208440294507603,0.18032786885245902,0.8524590163934426,0.6757752712403875,0.6998500668821579,0.7488932361205419,0.8519345238095238,0.9315476190476191,0.9765625,0.855191256830601,0.6484509028639417,0.6865364769389537,0.8459120069788496,0.7802268842268841,0.6484509028639417,0.8971953428928556,0.20218579234972678,0.9400071433980424,0.7101382769225346
0.75,1.5,22,checkpoints_dast_grid\best_tau_0p75_gamma_1p5.pt,0.49501165250937146,0.9141297083623644,0.19398907103825136,0.8415300546448088,0.6637972492623655,0.6848200265671389,0.47757942229509354,0.8389136904761906,0.9412202380952381,0.9765625,0.8415300546448088,0.6237290391968447,0.648988784592929,0.8327210530975957,0.7085,0.6237290391968447,0.8918364212613267,0.21584699453551912,0.935205879088765,0.6834352137442475
0.5,1.5,9,checkpoints_dast_grid\best_tau_0p5_gamma_1p5.pt,0.38589706023534137,0.9107009587232333,0.1912568306010929,0.8497267759562842,0.6786823641474804,0.7058594158330396,0.3629159741103649,0.8311011904761906,0.9322916666666666,0.984375,0.8333333333333334,0.5981478725609115,0.6227265033058706,0.8196012494951742,0.7191430695085332,0.5981478725609115,0.8825955457794886,0.226775956284153,0.9505501497328176,0.7071680503627846
0.75,1.0,9,checkpoints_dast_grid\best_tau_0p75_gamma_1p0.pt,0.6349942684173584,0.9070797090101504,0.1885245901639344,0.8579234972677595,0.6909151313802477,0.7022242841993638,0.6255283504724503,0.8232886904761906,0.9229910714285715,0.9765625,0.825136612021858,0.6219894419543782,0.6443257616046425,0.8187019082417137,0.6923882415567516,0.6219894419543782,0.8705996533795494,0.24863387978142076,0.9382501358062795,0.6843606749535125
