loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_mae,test_qwk,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,28,18,0.9964220794183158,0.01797707953826628,0.47624171826188105,0.949375,0.961875,0.949375,0.9493750000000001,0.9482507450612776,0.9482507450612776,0.9543110459400133,0.9493750000000001,0.065625,0.9602803738317757,0.9904197916666666,0.98156420874985,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_ce.pt
dast,success,33,23,0.9928634749349937,0.42468994193606907,0.47134593248367307,0.951875,0.97125,0.951875,0.951875,0.9507044669206187,0.9507044669206186,0.9558771668815641,0.951875,0.065625,0.9573202276254527,0.9859927083333333,0.95994452006536,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+MECS_dast.pt
