loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top2,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,31,21,0.970734035211371,0.017599926343636316,0.9641768292682927,0.9992378048780488,1.0,0.9635093167701864,0.9681074187941542,0.9645937317198211,0.9638586858782108,0.9617835825040446,0.9681074187941542,0.9542269688444869,0.03726708143949509,0.9957498974481193,0.9911628234453262,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+MECS_cb_focal_ce.pt
ordinal_focal_mse,success,35,25,0.9745504769268497,0.05240610767311698,0.9603658536585366,1.0,1.0,0.9596273291925466,0.9578823958987356,0.9583444038092545,0.9599345169412383,0.9593635204324408,0.9578823958987356,0.9494028912633564,0.041149068623781204,0.9951745296499589,0.990186884517282,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+MECS_ordinal_focal_mse.pt
sce,success,35,25,0.980569089523052,0.29619162784684905,0.9679878048780488,1.0,1.0,0.967391304347826,0.9693950753698731,0.967644135660216,0.9676270693286848,0.9662668334330826,0.9693950753698731,0.9615194742929659,0.032608695328235626,0.9962724438455165,0.9906256763222127,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+MECS_sce.pt
gce,success,32,22,0.9865197512538931,0.04175137281478184,0.9679878048780488,1.0,1.0,0.967391304347826,0.9667484307175834,0.9677076157279606,0.967481120430184,0.9687569863626201,0.9667484307175834,0.958720653632383,0.03338509425520897,0.9956134365672215,0.9901615839975868,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+MECS_gce.pt
dast,success,40,31,0.9784263016254081,0.2982293585451638,0.9634146341463414,0.9984756097560976,1.0,0.9627329192546584,0.9650709105941061,0.9633798596055984,0.9630025455719979,0.9620594457764255,0.9650709105941061,0.9560222563348182,0.03726708143949509,0.9911325272890563,0.9848615434927376,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+MECS_dast.pt
pcol,success,36,26,0.9822213076145662,0.13272301676660414,0.9588414634146342,1.0,1.0,0.9580745341614907,0.9587617623291219,0.9588919221228314,0.9582579220886508,0.9591748965600555,0.9587617623291219,0.9504848853318449,0.04192546755075455,0.99439038700425,0.9843373739624065,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+MECS_pcol.pt
aom,success,40,33,0.9786285480336473,0.13485974707669457,0.9657012195121951,1.0,1.0,0.9650621118012422,0.9594510633885558,0.961928983897946,0.9652712263867825,0.9649488157366518,0.9594510633885558,0.9557310351049798,0.0357142873108387,0.9954597897025731,0.9916308468274639,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+MECS_aom.pt
