loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top2,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,34,24,0.9784263016254081,0.0274449418320728,0.9672256097560976,1.0,1.0,0.9666149068322981,0.968017660695728,0.9689173465765816,0.9665647783691417,0.9698330685591832,0.968017660695728,0.9606782895652347,0.03338509425520897,0.9948284007646349,0.9904634930131273,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MECS_cb_focal_ce.pt
ordinal_focal_mse,success,24,14,0.9803294915026758,0.04777770642675289,0.9641768292682927,1.0,1.0,0.9635093167701864,0.9568591790219229,0.9631776704240473,0.963272521779138,0.9698653962492437,0.9568591790219229,0.9567807452422837,0.036490682512521744,0.9948399990607765,0.9900384064426339,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MECS_ordinal_focal_mse.pt
sce,success,29,19,0.9845482250226505,0.31210939950049177,0.9679878048780488,1.0,1.0,0.967391304347826,0.9705554527143608,0.9687833786062449,0.9675585845076798,0.9671922556950859,0.9705554527143608,0.9615794908799586,0.032608695328235626,0.9957026216753256,0.9908188018915164,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MECS_sce.pt
gce,success,26,16,0.9851433225467056,0.0394716875547069,0.9710365853658537,1.0,1.0,0.9704968944099379,0.9726136230868092,0.9726136230868092,0.9704968944099379,0.9726136230868092,0.9726136230868092,0.9652646385447258,0.029503105208277702,0.9961663876445782,0.9907807703699194,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MECS_gce.pt
dast,success,29,19,0.9827697055419828,0.2952298482016819,0.9657012195121951,0.9961890243902439,1.0,0.9650621118012422,0.9725312229047908,0.9680379617382767,0.965311270009622,0.9639271371199082,0.9725312229047908,0.9589490503603645,0.034937888383865356,0.9961152732631756,0.9913600830866985,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MECS_dast.pt
pcol,success,32,22,0.9842740462961679,0.11065798343681707,0.9679878048780488,1.0,1.0,0.967391304347826,0.962941408720806,0.9663227160678702,0.9674192525586385,0.9698193933789804,0.962941408720806,0.9586111158717373,0.03338509425520897,0.995886057613177,0.9917283167398369,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MECS_pcol.pt
aom,success,21,11,0.9783571746770282,0.13279267852535334,0.9588414634146342,1.0,1.0,0.9580745341614907,0.9430349581605973,0.9535255185468886,0.9579415553425227,0.9647611269906085,0.9430349581605973,0.9359264962884778,0.045807454735040665,0.992625814913183,0.9852396132767538,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MECS_aom.pt
