loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top2,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,23,13,0.9786285480336473,0.018152492120862007,0.9649390243902439,1.0,1.0,0.9642857142857143,0.9671739600157675,0.9651498406630464,0.9645488914370722,0.9635453929733185,0.9671739600157675,0.9551121201258613,0.036490682512521744,0.9952317781264136,0.9902855624885678,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,40,36,0.9862341172014771,0.060391786275908445,0.9649390243902439,1.0,1.0,0.9642857142857143,0.9646902603451352,0.9638830941554307,0.9645534962188022,0.9635529067634714,0.9646902603451352,0.9550175476609296,0.036490682512521744,0.9960804401413554,0.9914393503827585,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+GCSA_ordinal_focal_mse.pt
sce,success,31,21,0.9880931750540802,0.2703398626663995,0.9710365853658537,1.0,1.0,0.9704968944099379,0.9696312072347615,0.970575306805756,0.9705772892859446,0.97160985235082,0.9696312072347615,0.9623899288650601,0.030279502272605896,0.9960511625277441,0.9933483050648805,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+GCSA_sce.pt
gce,success,35,25,0.9847285988733679,0.038258379659587595,0.9710365853658537,0.9992378048780488,1.0,0.9704968944099379,0.9740998903946112,0.9716899833577464,0.9706762424963379,0.9695364381509385,0.9740998903946112,0.9652479661000101,0.029503105208277702,0.995799547060531,0.9921144423491315,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+GCSA_gce.pt
dast,success,31,21,0.988411168766988,0.2961140107817766,0.9657012195121951,0.9992378048780488,1.0,0.9650621118012422,0.9745162063940082,0.9682182419698182,0.9654049865789226,0.9626594582322308,0.9745162063940082,0.9589821689911991,0.034937888383865356,0.9956782370163673,0.9919639208773594,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+GCSA_dast.pt
pcol,success,40,39,0.986120600165544,0.13746791685045492,0.9679878048780488,1.0,1.0,0.967391304347826,0.9597960478871013,0.9646799072805293,0.9673984883572637,0.969768970595256,0.9597960478871013,0.9612833964343738,0.032608695328235626,0.9937614348044459,0.9901391354364316,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+GCSA_pcol.pt
aom,success,29,19,0.9865986598659866,0.11684962588493009,0.9626524390243902,0.9992378048780488,1.0,0.9619565217391305,0.9605382538498124,0.9594712558376609,0.9623971311111417,0.959625971086073,0.9605382538498124,0.9521201229023601,0.038819875568151474,0.9960747399538784,0.9928077218881338,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer2+GCSA_aom.pt
