loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top2,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,40,34,0.9804097781976188,0.030959333929830593,0.9664634146341463,1.0,1.0,0.9658385093167702,0.9689511194741147,0.9664819368496257,0.9658251443202058,0.9640619329605412,0.9689511194741147,0.9544865388991679,0.0357142873108387,0.9958112148244235,0.9926131159841395,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MDFA_cb_focal_ce.pt
ordinal_focal_mse,success,38,28,0.9880931750540802,0.06808902550672917,0.9702743902439024,1.0,1.0,0.96972049689441,0.9722237595390508,0.9719207714600332,0.9697354801863546,0.971619558226425,0.9722237595390508,0.9643553564890112,0.030279502272605896,0.9962862431277011,0.9935130295225386,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MDFA_ordinal_focal_mse.pt
sce,success,27,17,0.9821387908963747,0.31920922964118514,0.96875,1.0,1.0,0.968167701863354,0.9668124043020274,0.9691920381073064,0.9679715235283644,0.9718427524735026,0.9668124043020274,0.9597993942102389,0.032608695328235626,0.9943335889159829,0.9879392640057615,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MDFA_sce.pt
gce,success,29,19,0.9843604108309991,0.04078806255751172,0.9710365853658537,1.0,1.0,0.9704968944099379,0.9686436561083748,0.9722797962935991,0.970315096813396,0.9761806619143961,0.9686436561083748,0.9652083419227253,0.029503105208277702,0.9942403364910128,0.9906357104002127,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MDFA_gce.pt
dast,success,36,26,0.980224660799696,0.29332966739084665,0.9717987804878049,0.9969512195121951,1.0,0.9712732919254659,0.9716801643084226,0.9732007088549706,0.9712009914879882,0.9747664480222621,0.9716801643084226,0.9661559089385443,0.02872670814394951,0.994184871649571,0.9871030028644329,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MDFA_dast.pt
pcol,success,19,9,0.9809107485917098,0.1384945624030945,0.9603658536585366,1.0,1.0,0.9596273291925466,0.9610277567324405,0.9599744838761547,0.9599381903993601,0.9594451934119393,0.9610277567324405,0.9467626740097461,0.04192546755075455,0.9933487483796397,0.9888422757647032,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MDFA_pcol.pt
aom,success,36,26,0.9842740462961679,0.17796083989347475,0.9672256097560976,1.0,1.0,0.9666149068322981,0.9673559995326557,0.9688548778584792,0.966530881999554,0.9703985291194593,0.9673559995326557,0.9606676779556056,0.03338509425520897,0.9930619605915659,0.9902437997067555,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+MDFA_aom.pt
