loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,test_loss,test_top1,test_top2,test_top3,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_qwk,test_mae,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
cb_focal_ce,success,36,26,0.9803450547453546,0.02034122481732416,0.9717987804878049,1.0,1.0,0.9712732919254659,0.976973453613002,0.9736193809095789,0.971425254298871,0.970475474896929,0.976973453613002,0.9662288186039129,0.02872670814394951,0.9968033758442439,0.993998094020582,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,33,23,0.9842740462961679,0.05709884073446408,0.9740853658536586,1.0,1.0,0.9736024844720497,0.972188093788625,0.9752484595507851,0.9734677028818839,0.9784928420352345,0.972188093788625,0.9688790281660714,0.02639751508831978,0.9968986549139642,0.9941136051033485,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+GCSA_ordinal_focal_mse.pt
sce,success,39,29,0.9842740462961679,0.32922173168907004,0.9702743902439024,1.0,1.0,0.96972049689441,0.9697400598684185,0.9706771502047093,0.9697426585087366,0.9716282320055906,0.9697400598684185,0.9642804318887739,0.030279502272605896,0.9949087531357748,0.9918989657191558,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+GCSA_sce.pt
gce,success,35,25,0.982459093034128,0.04978419022130011,0.9626524390243902,1.0,1.0,0.9619565217391305,0.9517737137482137,0.9596169762856782,0.9617756768929207,0.9678627698666457,0.9517737137482137,0.9519998853317853,0.038819875568151474,0.9935193419629355,0.990026313404455,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+GCSA_gce.pt
dast,success,24,14,0.9847285988733679,0.2957846605923118,0.9725609756097561,0.9969512195121951,1.0,0.9720496894409938,0.9753783336715429,0.9741572249151987,0.972104540899569,0.9729644313146953,0.9753783336715429,0.9671105550093843,0.027950311079621315,0.9931779762924161,0.9847514123871598,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+GCSA_dast.pt
pcol,success,35,25,0.9842740462961679,0.12794290343299508,0.9740853658536586,1.0,1.0,0.9736024844720497,0.9763210057487167,0.9747908563244286,0.9737180731234143,0.9734115113367764,0.9763210057487167,0.9661487930172297,0.027173912152647972,0.9921383895813537,0.9799980004269419,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+GCSA_pcol.pt
aom,success,24,14,0.9847285988733679,0.11408292634658254,0.9649390243902439,1.0,1.0,0.9642857142857143,0.9723043043386898,0.9654038631389538,0.9646590944682313,0.9593860521662246,0.9723043043386898,0.9553481474773317,0.036490682512521744,0.9963181886341218,0.9919373027197862,E:\Paper\Computer-Vision-for-Medicine\chest-x-ray-image_Loss\checkpoints\best_ResNet_layer3+GCSA_aom.pt
