loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,24,14,0.9928378039815224,0.03483475116081536,0.5422897744254442,0.951875,0.97125,0.951875,0.951875,0.9511038180732131,0.951103818073213,0.955515453682643,0.951875,0.9888497395833334,0.9741177699945656,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_ce.pt
cb_focal_ce,success,25,15,0.994649189220708,0.007399446266289387,0.21551697137314477,0.949375,0.959375,0.949375,0.9493750000000001,0.9480990167074026,0.9480990167074026,0.9534515252197241,0.9493750000000001,0.9928651041666667,0.9854118317913986,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,28,18,0.9964285486513129,0.01043601508717984,0.4562019421246123,0.9525,0.96375,0.9525,0.9525,0.9515285448268784,0.9515285448268785,0.9560603341043379,0.9525,0.9900151041666667,0.9731879911530378,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_ordinal_focal_mse.pt
sce,success,25,15,0.9910586049749177,0.08978527554103898,1.4845691083464772,0.9475,0.958125,0.9475,0.9475,0.9463713140565176,0.9463713140565175,0.9517356646369084,0.9475,0.9882187499999999,0.975544129833171,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_sce.pt
gce,success,34,24,0.9893046416958959,0.016848516425145336,0.0766963387350458,0.945,0.97,0.945,0.945,0.944032119487408,0.9440321194874081,0.9505298675647615,0.945,0.9823770833333333,0.9655298747399781,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_gce.pt
dast,success,31,21,0.9946427888110818,0.4221400221188863,0.48967747449874877,0.95,0.9625,0.95,0.9500000000000001,0.9487568195721411,0.9487568195721411,0.9539663327425562,0.9500000000000001,0.9819078125,0.9491532748408149,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_dast.pt
pcol,success,29,19,0.9946296894118706,0.03516458960560461,0.7758149591367691,0.95,0.9625,0.95,0.95,0.9491120806566447,0.9491120806566447,0.9539252340161786,0.95,0.9886979166666666,0.9676329075288164,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_pcol.pt
aom,success,35,25,0.9928441588366318,0.025567234445285674,0.5056819973156326,0.950625,0.9675,0.950625,0.950625,0.9493906377280151,0.9493906377280151,0.954656225384572,0.950625,0.9897411458333334,0.9802218947038259,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_aom.pt
