loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,40,30,0.9928571428571429,0.031679475411591634,0.4617131800246534,0.95,0.96875,0.95,0.95,0.948609277294647,0.948609277294647,0.9539737541583352,0.95,0.991903125,0.9820465106838577,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_ce.pt
cb_focal_ce,success,41,31,0.9928556848336395,0.012166701037333243,0.21230339691575864,0.956875,0.970625,0.956875,0.956875,0.9558321409187209,0.9558321409187209,0.9598562482330321,0.956875,0.9926403645833334,0.9846995310996598,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_cb_focal_ce.pt
ordinal_focal_mse,success,17,7,0.9857077491257313,0.03820462540412942,0.19632108008023352,0.95,0.970625,0.95,0.9500000000000001,0.9490947635916669,0.9490947635916669,0.9537172286255533,0.9500000000000001,0.9883473958333333,0.9772917915145,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_ordinal_focal_mse.pt
sce,success,44,34,0.9928441588366318,0.11422160700567474,0.7351436891218691,0.954375,0.96625,0.954375,0.954375,0.9532402021801664,0.9532402021801665,0.9576499035011545,0.954375,0.9923734375,0.985273612770767,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_sce.pt
gce,success,45,35,0.9946296894118706,0.007163757208319212,0.06170295563598302,0.95625,0.97375,0.95625,0.95625,0.9553790801559893,0.9553790801559893,0.9603583197743358,0.95625,0.9853080729166667,0.9705591082213973,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_gce.pt
dast,success,35,25,0.9946427888110818,0.4256867998176151,0.47373367309570313,0.951875,0.965625,0.951875,0.951875,0.9506085433829712,0.9506085433829712,0.9561485508382457,0.951875,0.988603125,0.9734170291103653,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_dast.pt
pcol,success,42,32,0.9928567784070617,0.04403424771347394,0.34513872967567294,0.95375,0.9675,0.95375,0.95375,0.952519455429936,0.952519455429936,0.956934430651998,0.95375,0.9941846354166667,0.9874479517653347,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_pcol.pt
aom,success,25,15,0.9928441588366318,0.04302144009691094,0.44150457204537813,0.954375,0.968125,0.954375,0.9543750000000001,0.9532991489455395,0.9532991489455392,0.9575869575542675,0.9543750000000001,0.9859731770833333,0.9741153248829091,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_aom.pt
