loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,50,40,0.9928441588366318,0.05101758232498079,0.4964986652161932,0.95375,0.975,0.95375,0.95375,0.95280972753488,0.95280972753488,0.9569620926287002,0.95375,0.9898028645833333,0.9763972975043416,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_ce.pt
cb_focal_ce,success,40,30,0.9928634749349937,0.011754303965484983,0.2998089673918824,0.950625,0.960625,0.950625,0.950625,0.9493292748991238,0.9493292748991239,0.9546897629189465,0.950625,0.9851880208333335,0.97334013565558,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,33,23,0.9928507196702582,0.03510722584929502,0.5625720568658817,0.95,0.961875,0.95,0.95,0.9491003283569193,0.949100328356919,0.954166009896159,0.95,0.9850718750000002,0.9606380010379436,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_ordinal_focal_mse.pt
sce,success,43,33,0.9946422420941179,0.07555212664707532,0.7916948997309282,0.95,0.969375,0.95,0.9500000000000001,0.9489815017212101,0.9489815017212101,0.9533063795989314,0.9500000000000001,0.9897598958333333,0.9774325510676609,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_sce.pt
gce,success,50,40,0.9928441588366318,0.010941008313236113,0.06891298851228211,0.95,0.965625,0.95,0.95,0.948959871815487,0.9489598718154869,0.9536228605850923,0.95,0.9922664062500001,0.9814492032077161,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_gce.pt
dast,success,21,11,0.9928571200798844,0.42848230515207564,0.5889593422412872,0.95125,0.968125,0.95125,0.95125,0.9501804861673858,0.9501804861673858,0.9543373895399401,0.95125,0.9886557291666667,0.9759678247360819,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_dast.pt
pcol,success,35,25,0.9946427888110818,0.02530566885335637,0.7647920321207493,0.946875,0.966875,0.946875,0.9468749999999999,0.9457784372928723,0.9457784372928723,0.9509679109107498,0.9468749999999999,0.9884104166666666,0.9733314665432173,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_pcol.pt
aom,success,27,17,0.9946427888110818,0.02375076378999178,0.42831476921444905,0.9475,0.96625,0.9475,0.9475,0.9462864824841928,0.9462864824841928,0.9508437526922644,0.9475,0.9899723958333334,0.9800149837775819,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+GCSA_aom.pt
