loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_mae,test_qwk,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,40,25,0.9946427888110818,0.03053152655557925,0.4382518556014156,0.953125,0.9675,0.953125,0.953125,0.9520860245177408,0.9520860245177407,0.9567531569803166,0.953125,0.07125,0.9502848265147592,0.9927679687500001,0.9836871615476745,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_ce.pt
dast,success,45,30,0.9946427888110818,0.4240914848115709,0.4633260536193848,0.958125,0.974375,0.958125,0.958125,0.9573592148019651,0.9573592148019651,0.9616364455250594,0.958125,0.053125,0.9687983496647756,0.9893489583333334,0.9657701486170883,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_baseline_dast.pt
