loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,33,23,0.9928634749349937,0.030169046937213093,1.3640874414731308,0.94625,0.956875,0.94625,0.94625,0.9452566756855346,0.9452566756855346,0.9502993447280508,0.94625,0.9843958333333334,0.9651403818001165,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_ce.pt
cb_focal_ce,success,31,21,0.9910714057941701,0.010700955172848938,0.8032319672191852,0.94875,0.970625,0.94875,0.94875,0.947935086756153,0.947935086756153,0.9518768898561336,0.94875,0.9850979166666666,0.9608920525766345,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_cb_focal_ce.pt
ordinal_focal_mse,success,37,27,0.994642652140558,0.019102574995953806,0.2964370240338559,0.951875,0.96625,0.951875,0.951875,0.9507978133999749,0.9507978133999749,0.9556423306423307,0.951875,0.9883486979166667,0.9735891429148363,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_ordinal_focal_mse.pt
sce,success,27,17,0.9892661704077949,0.10048797474197012,0.8590564319851137,0.943125,0.9625,0.943125,0.943125,0.9420056014597102,0.9420056014597102,0.9480770355428749,0.943125,0.98778671875,0.9750634095288142,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_sce.pt
gce,success,22,12,0.9839221482416868,0.023412330115180728,0.08910756799261194,0.935,0.96875,0.935,0.935,0.9344422474147692,0.9344422474147693,0.9370944237622856,0.935,0.9818479166666667,0.9603792309842276,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_gce.pt
dast,success,42,32,0.9946427888110818,0.42257108177457536,0.4741325864195824,0.950625,0.964375,0.950625,0.950625,0.9493030677615588,0.9493030677615589,0.9546068860279693,0.950625,0.9854729166666667,0.957200077870164,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_dast.pt
pcol,success,35,25,0.9928566436717262,0.018333634827286005,0.4128073966875672,0.950625,0.96875,0.950625,0.950625,0.9493961127468112,0.9493961127468111,0.953892498685136,0.950625,0.9918958333333333,0.980851525790304,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_pcol.pt
aom,success,42,32,0.9946364339559725,0.027831680647385122,0.5370315136588768,0.9475,0.965,0.9475,0.9475,0.9461739391924164,0.9461739391924163,0.9521347550354193,0.9475,0.989496875,0.9813174023766296,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer2+MECS_aom.pt
