loss_name,status,trained_epochs,best_epoch,best_valid_macro_f1,best_valid_loss,test_loss,test_top1,test_top2,test_acc,test_balanced_acc,test_macro_f1,test_weighted_f1,test_precision_macro,test_recall_macro,test_ovr_roc_auc_macro,test_ovr_pr_auc_macro,checkpoint_path
ce,success,23,13,0.994642652140558,0.024902001895238106,0.649373611457799,0.944375,0.965,0.944375,0.9443750000000001,0.943253808571043,0.943253808571043,0.9486418141036561,0.9443750000000001,0.9878924479166669,0.9697357244987439,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_ce.pt
cb_focal_ce,success,26,16,0.9928507196702582,0.01618290551440233,0.2651961757945747,0.945,0.96375,0.945,0.9450000000000001,0.9440133264455849,0.9440133264455851,0.9496633364512359,0.9450000000000001,0.9873796875,0.9760734729989116,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_cb_focal_ce.pt
ordinal_focal_mse,success,18,8,0.9910903574424508,0.03690454569805297,0.572820986999086,0.940625,0.954375,0.940625,0.940625,0.9392793234400201,0.9392793234400201,0.9450096078003974,0.940625,0.9855635416666667,0.9598150493903498,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_ordinal_focal_mse.pt
sce,success,34,24,0.9982142629370272,0.030042336230612168,0.7278406428349876,0.95375,0.97625,0.95375,0.95375,0.9527217014544013,0.9527217014544013,0.9568978495378384,0.95375,0.9913919270833335,0.9804926853662765,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_sce.pt
gce,success,30,20,0.9892857142857143,0.01487371031068402,0.07464655577527857,0.945,0.9675,0.945,0.9450000000000001,0.9438536201692533,0.9438536201692532,0.9487548610297718,0.9450000000000001,0.9858630208333333,0.9674359612619532,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_gce.pt
dast,success,34,24,0.9946427888110818,0.42055098244122097,0.475483110845089,0.950625,0.9725,0.950625,0.950625,0.9496720096221727,0.9496720096221728,0.9551286757765223,0.950625,0.9856385416666666,0.9601235535321366,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_dast.pt
pcol,success,41,31,0.9946427888110818,0.02225627427521561,0.37276582914055323,0.95125,0.966875,0.95125,0.95125,0.9501674321266277,0.9501674321266276,0.9552550112010781,0.95125,0.9943794270833334,0.9897454289485109,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_pcol.pt
aom,success,29,19,0.9910649598300271,0.24364698192876275,0.783139139837798,0.94375,0.96375,0.94375,0.94375,0.942687158083346,0.942687158083346,0.9482789664894045,0.94375,0.9879348958333334,0.9747707318661734,E:\Paper\Computer-Vision-for-Medicine\Brain_Tumor_MRI_Loss\checkpoints\best_ResNet_layer3+GCSA_aom.pt
